Gerald Anthony
Lee Daniels
Brian De Palma
David M. Evans
Jonathan Frakes
Antoine Fuqua
Todd Gallagher
Marshall Herskovitz
Tigre Hill
Tamar Simon Hoffs
Todd Holland
David Hollander
Kevin Hooks
David Howard 
Tamara Jenkins
Clark Johnson
Deborah Kaplan
Irvin Kershner
Randal Kleiser
Charles Leavitt
Richard Lester
Herschell Gordon Lewis
Steven Lisberger
Sidney Lumet
Kathleen Marshall
Elaine May
Melanie Mayron
Adam McKay
Jason Miller 
David Mirkin
Eric Red
Richard Rossi
Alvin Sargent
Tom Savini
Edwin Sherin
M. Night Shyamalan
Jerry Stahl
Joseph Strick
Andrew Kevin Walker
Paul Wendkos
Sam Wood
Bud Yorkin
The Bloodhound Gang
Christina Aguilera
Akron/Family
Kellee Maize
Marian Anderson
Mark Andes
Anti-Flag
August Burns Red
Frankie Avalon
Franny Beecher
George Benson
Les Brown 
Benjamin Burnley
Bilal 
Joe Bonsall
Boyz II Men
Glenn Branca
Breaking Benjamin
Solomon Burke
Vanessa Carlton
Cassidy 
Meek Mill
Danny Cedrone
Chubby Checker
Lou Christie
Cinderella 
CKY 
Clap Your Hands Say Yeah
Todd Tamanend Clark
Stanley Clarke
The Clarks
John Coltrane
Perry Como
Joey Covington
Jim Croce
Patrick Dahlheimer
Bobby Dall
Lacy J. Dalton
Jimmy Dorsey
Tommy Dorsey
Dead Milkmen
Jimmy DeGrasso
The Delfonics
Dr. Dog
Esteban
Kevin Eubanks
Jackie Evancho
Eve 
Stephen Foster
Freeway
Fuel 
G. Love & Special Sauce
Gamble & Huff
Stan Getz
Adam Goldstein
Chad Gracey
Johnny Grande
Anthony Green 
Justin Guarini
Halestorm
Bill Haley & His Comets
Daryl Hall & John Oates
Dan Hartman
The Hooters
Phyllis Hyman
Donnie Iris
Sebastian Janoski 
Keith Jarrett
DJ Jazzy Jeff
Jedi Mind Tricks
Joan Jett
Allan Jones 
The Juliana Theory
Wiz Khalifa
Jason Karaban
Tom Keifer
Kid Dynamite 
Chris Kirkpatrick
Ed Kowalczyk
Mario Lanza
Jeff LaBar
Patti LaBelle
Live 
Lisa Lopes
Henry Mancini
Fred Mascherino
Al Martino
McFadden & Whitehead
Harold Melvin & The Blue Notes
Mac Miller
Garnet Mimms
Mirah
Dan McKeown
Irene Molloy
Train 
Motionless In White
Musiq Soulchild
The Ocean Blue
Paint It Black 
Eden Park
Jaco Pastorius
Billy Paul
Teddy Pendergrass
Langhorne Slim
Christina Perri
Pink 
Poison 
Matt Pond PA
Punchline 
Questlove
Sun Ra
Trent Reznor
Rikki Rockett
The Roots
Asher Roth
Todd Rundgren
Rusted Root
Ira D. Sankey
Santigold
Schooly D
Jill Scott
Shanice
Beanie Sigel
Silvertide
Sister Sledge
Will Smith
The Stylistics
Taylor Swift
Tammi Terrell
Title Fight
Tigers Jaw
Nicole Tranquillo
McCoy Tyner
Bobby Vinton
Chris Vrenna
John Walker 
Frank Walls
Ween
The Wonder Years 
Syreeta Wright
Young Gunz
Jack Agnew
Claude Allen
Henry H. Arnold
Joe Biden
Robert Bork
John Boyd 
James Buchanan
Smedley Butler
Samuel Carpenter
Bob Casey
Robert P. Casey
Benjamin Chew
Mark B. Cohen
William Thaddeus Coleman
Tom Corbett
George M. Dallas
James J. Davis
R. Budd Dwyer
Bob Filner
Benjamin Franklin
Frank Gaffney
Alexander Haig
Winfield Scott Hancock
Orrin Hatch
Michael Hayden 
Harold L. Ickes
Michael Johns 
George Joulwan
John Kasich
Donald Kohn
Alf Landon
Andrew L. Lewis
Richard Marcinko
Betsy McCaughey
Royal Meeker
Janet Napolitano
Benjamin Netanyahu
Alexander Mitchell Palmer
Robert Reich
Ed Rendell
George S. Rentz
Tom Ridge
John Roll
Dan Rooney
Betsy Ross
Richard Schweiker
Joe Sestak
Raymond P. Shafer
Jeanne Shaheen
Don Sherwood
D. Brooks Smith
Carl Andrew Spaatz
Arlen Specter
Thaddeus Stevens
Lawrence Summers
Charlemagne Tower
Tom Vilsack
Curtin Winsor
Richard Winters
Rick Amato
Jodi Applegate
Michael Barkann
Chuck Barris
John Batchelor
Neal Boortz
Michael Buffer
Steve Burns
Steve Capus
Todd Christensen
Myron Cope
Jim Cramer
Bill Cullen
Howard Eskin
Debra Fox
Pauline Frederick 
Alan Freed
Courtney Friel
Louis Glackens
Jon & Kate Plus 8
Marc Lamont Hill
Marilyn Horne
Suzy Kolber
Andrea Kremer
Mark Levin
Bam Margera
Chris Matthews
Billy Mays
Michael Medved
Abby Lee Miller
Jeanne Moos
Clayton Morris
Charlie O'Donnell
Beth Ostrosky
Fred Rogers
Norman Rose
Ryan Sampson
Ray Scott 
Steve Scully
Dick Stockton
Andrea Tantaros
Tony Campolo
Walter Ciszek
Harvey Cox
Demetrius Augustine Gallitzin
Washington Gladden
Barry W. Lynn
Michael Novak
Joseph Murgas
Jeremiah Wright
Clayton Alderfer
Gary Becker
Julian Bond
Edwin Boring
Paul Cameron
Henry Charles Carey
Leonard Carmichael
James McKeen Cattell
Noam Chomsky
Randolph Cohen
Robert Costanza
Joshua Fishman
Walter Jackson Freeman II
Howard Gardner
Henry George
Douglas Holtz-Eakin
Jane Jacobs
William Williams Keen
Donald N. Levine
Edward B. Lewis
Sally Kohn
John McWhorter
Margaret Mead
Robert K. Merton
Albert Jay Nock
Hilary Putnam
Robert Reich
David Riesman
Clinton Rossiter
Michael Rubin
B. F. Skinner
Walter E. Williams
Alan Wolfe
Michael Yates 
Robert Yerkes
Category:Pennsylvania culture
Category:Pennsylvania-related lists
Category:People from Pennsylvania
Category:Use mdy dates from November 2013
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
ペンシルベニア州出身の人物一覧 – Japanese
wikimedia:Privacy policy
